Date,Cours,Ouv.,Plus haut,Plus bas,Var. %,
"20/02/2026","18.701,04","18.736,57","18.744,14","18.597,25","-0,19%",
"19/02/2026","18.736,57","18.687,90","18.736,57","18.639,79","0,26%",
"18/02/2026","18.687,90","18.724,05","18.763,41","18.630,01","-0,19%",
"17/02/2026","18.724,05","18.827,60","18.829,45","18.675,88","-0,55%",
"16/02/2026","18.827,60","18.573,12","18.827,60","18.567,09","1,37%",
"13/02/2026","18.573,12","18.645,43","18.682,13","18.561,44","-0,39%",
"12/02/2026","18.645,43","18.365,69","18.645,96","18.365,69","1,52%",
"11/02/2026","18.365,69","18.303,36","18.391,71","18.275,77","0,34%",
"10/02/2026","18.303,36","18.338,87","18.405,84","18.266,59","-0,19%",
"09/02/2026","18.338,87","18.306,80","18.481,69","18.292,11","0,18%",
"06/02/2026","18.306,80","18.122,70","18.310,25","17.924,37","1,02%",
"05/02/2026","18.122,70","18.450,76","18.497,70","18.122,70","-1,78%",
"04/02/2026","18.450,76","18.439,79","18.595,57","18.430,14","0,06%",
"03/02/2026","18.439,79","18.524,06","18.648,05","18.434,19","-0,45%",
"02/02/2026","18.524,06","18.666,95","18.730,57","18.399,39","-0,77%",
"30/01/2026","18.666,95","18.955,53","18.957,77","18.666,95","-1,52%",
"29/01/2026","18.955,53","18.963,82","19.109,49","18.943,00","-0,04%",
"28/01/2026","18.963,82","18.616,29","18.963,82","18.616,29","1,87%",
"27/01/2026","18.616,29","18.384,99","18.618,86","18.379,59","1,26%",
"26/01/2026","18.384,99","18.643,56","18.722,35","18.360,24","-1,39%",
"23/01/2026","18.643,56","18.792,09","18.945,44","18.627,81","-0,79%",
"22/01/2026","18.792,09","18.650,08","19.056,38","18.650,08","0,76%",
"21/01/2026","18.650,08","18.882,11","18.976,06","18.650,08","-1,23%",
"20/01/2026","18.882,11","19.008,06","19.091,19","18.816,38","-0,66%",
"19/01/2026","19.008,06","19.200,47","19.284,29","18.982,96","-1,00%",
"16/01/2026","19.200,47","19.270,33","19.293,44","19.136,28","-0,36%",
"15/01/2026","19.270,33","19.381,89","19.473,83","19.198,46","-0,58%",
"13/01/2026","19.381,89","19.516,71","19.550,71","19.376,29","-0,69%",
"12/01/2026","19.516,71","19.469,47","19.525,13","19.394,74","0,24%",
"09/01/2026","19.469,47","19.388,28","19.513,60","19.318,92","0,42%",
"08/01/2026","19.388,28","19.445,46","19.510,57","19.304,63","-0,29%",
"07/01/2026","19.445,46","19.554,97","19.638,15","19.422,15","-0,56%",
"06/01/2026","19.554,97","19.440,91","19.630,37","19.440,68","0,59%",
"05/01/2026","19.440,91","19.208,36","19.440,91","19.180,38","1,21%",
"02/01/2026","19.208,36","18.846,35","19.208,36","18.774,74","1,92%",
"31/12/2025","18.846,35","18.654,74","18.869,80","18.651,55","1,03%",
"30/12/2025","18.654,74","18.386,49","18.672,90","18.386,49","1,46%",
"29/12/2025","18.386,49","18.476,19","18.813,23","18.378,58","-0,49%",
"26/12/2025","18.476,19","18.941,16","19.144,14","18.476,19","-2,45%",
"25/12/2025","18.941,16","18.917,37","19.048,87","18.864,61","0,13%",
"24/12/2025","18.917,37","18.943,40","19.001,97","18.881,84","-0,14%",
"23/12/2025","18.943,40","18.941,74","18.966,16","18.795,24","0,01%",
"22/12/2025","18.941,74","18.938,30","18.983,64","18.886,00","0,02%",
"19/12/2025","18.938,30","18.815,95","19.005,82","18.815,95","0,65%",
"18/12/2025","18.815,95","18.760,08","18.869,60","18.759,49","0,30%",
"17/12/2025","18.760,08","18.583,78","18.767,61","18.583,78","0,95%",
"16/12/2025","18.583,78","18.553,93","18.671,92","18.543,49","0,16%",
"15/12/2025","18.553,93","18.566,51","18.694,45","18.515,19","-0,07%",
"12/12/2025","18.566,51","18.498,78","18.622,63","18.498,78","0,37%",
"11/12/2025","18.498,78","18.520,07","18.545,73","18.418,11","-0,11%",
"10/12/2025","18.520,07","18.458,27","18.529,44","18.396,95","0,33%",
"09/12/2025","18.458,70","18.473,46","18.527,50","18.410,70","-0,08%",
"08/12/2025","18.473,46","18.469,38","18.563,04","18.418,04","0,02%",
